Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C9         1210C             3069.772mil  -2570.024mil   3069.772mil      -2634mil   3069.772mil      -2634mil  T         90.00 GRM32ER72A225KA35L
C42        1210C             2920.772mil  -2569.024mil   2920.772mil      -2633mil   2920.772mil      -2633mil  T         90.00 GRM32ER72A225KA35L
C49        0603C             2731.772mil  -2334.472mil   2731.772mil      -2364mil   2731.772mil      -2364mil  T         90.00 6.8pF/100V     
C13        0603C             2864.772mil  -2145.472mil   2864.772mil      -2175mil   2864.772mil      -2175mil  T         90.00 EMK107BB7225MA-T
C14        0603C             2929.244mil      -2534mil   2958.772mil      -2534mil   2958.772mil      -2534mil  T        180.00 18nF/16V       
C18        0603C             3018.021mil  -2627.472mil   3018.021mil  -2597.945mil   3018.021mil  -2597.945mil  T        270.00 18nF/16V       
C19        1210C             3211.772mil  -2567.024mil   3211.772mil      -2631mil   3211.772mil      -2631mil  T         90.00 GRM32ER72A225KA35L
C43        0603C             2987.772mil  -2141.528mil   2987.772mil      -2112mil   2987.772mil      -2112mil  T        270.00 0.1uF/25V      
C47        0603C             3049.772mil  -2139.528mil   3049.772mil      -2110mil   3049.772mil      -2110mil  T        270.00 C1608X7S2A104K080AB
C29        1210C             2220.796mil      -2573mil   2284.772mil      -2573mil   2284.772mil      -2573mil  T        180.00 GRM32ER71A476KE15L
C48        1210C             2222.796mil      -2703mil   2286.772mil      -2703mil   2286.772mil      -2703mil  T        180.00 GRM32ER71A476KE15L
C31        1210C             2216.796mil      -2438mil   2280.772mil      -2438mil   2280.772mil      -2438mil  T        180.00 GRM32ER71A476KE15L
C32        0603C             2930.244mil      -2474mil   2959.772mil      -2474mil   2959.772mil      -2474mil  T        180.00 1pF/16V        
C54        0603C             2959.647mil  -2627.472mil   2959.647mil  -2597.945mil   2959.647mil  -2597.945mil  T        270.00 470pF/16V      
C55        0603C             2813.528mil      -2718mil       2784mil      -2718mil       2784mil      -2718mil  T        360.00 2.2uF/16V      
L1         XAL6060           2327.772mil  -2236.528mil   2327.772mil      -2157mil   2327.772mil      -2157mil  T        270.00 XAL6060-682MEB 
Q10        PowerPAK_SO-8     2679.363mil  -2564.378mil   2531.772mil      -2463mil   2569.174mil  -2489.378mil  T        360.00 BSC117N08NS5ATMA1
Q15        PowerPAK_SO-8     2691.181mil  -2156.622mil   2838.772mil      -2258mil    2801.37mil  -2231.622mil  T        180.00 BSC037N08NS5ATMA1
R31        0603R             2924.772mil  -2142.528mil   2924.772mil      -2113mil   2924.772mil      -2113mil  T        270.00 0              
R32        0603R               3129.3mil      -2399mil   3099.772mil      -2399mil   3099.772mil      -2399mil  B        360.00 121K/1%        
R33        0603R             3111.772mil  -2139.528mil   3111.772mil      -2110mil   3111.772mil      -2110mil  T        270.00 2.2            
R27        0603R             2732.772mil  -2215.528mil   2732.772mil      -2186mil   2732.772mil      -2186mil  T        270.00 1.65K          
R29        0603R             2842.772mil  -2503.528mil   2842.772mil      -2474mil   2842.772mil      -2474mil  T        270.00 2.37K          
R64        0603R                 2714mil  -2630.528mil       2714mil      -2601mil       2714mil      -2601mil  T        270.00 20K            
R45        0603R             2842.897mil  -2627.472mil   2842.897mil  -2597.945mil   2842.897mil  -2597.945mil  T        270.00 1.27K          
R65        0603R             2901.272mil  -2627.472mil   2901.272mil      -2657mil   2901.272mil      -2657mil  T         90.00 18K            
R66        0603R               2930.3mil      -2714mil   2900.772mil      -2714mil   2900.772mil      -2714mil  T        360.00 19.1           
R67        0603R             3076.396mil  -2627.472mil   3076.396mil      -2657mil   3076.396mil      -2657mil  T         90.00 28.7K          
R68        0603R             3134.771mil  -2627.472mil   3134.771mil      -2657mil   3134.771mil      -2657mil  T         90.00 8.06K          
U1         QFN050P600-8N     2894.772mil      -2335mil   2894.772mil      -2335mil   2983.355mil  -2364.528mil  T         90.00 LM5145         
R57        0603r             1382.473mil      -1651mil       1412mil      -1651mil       1412mil      -1651mil  T        180.00 100k           
R62        0603r             1383.528mil      -1588mil       1354mil      -1588mil       1354mil      -1588mil  T        360.00 20K            
R63        0603R              528.472mil      -1550mil        558mil      -1550mil        558mil      -1550mil  T        180.00 10K            
C56        0603C             3681.607mil   -416.472mil   3681.607mil   -386.944mil   3681.607mil   -386.944mil  T        270.00 0.1uF/10V      
FB1        F0805             3057.607mil       -430mil   3057.607mil       -475mil   3057.607mil       -475mil  T         90.00 100R1A         
R69        0603R             1499.473mil      -1650mil       1529mil      -1650mil       1529mil      -1650mil  T        180.00 1K             
R70        0603R                 1896mil   -1644.46mil       1896mil  -1673.987mil       1896mil  -1673.987mil  T         90.00 100            
R73        0603R                 2775mil  -2629.528mil       2775mil      -2600mil       2775mil      -2600mil  T        270.00 20K            
P8         HDR1X4                3611mil   -891.756mil       3461mil   -891.756mil       3461mil   -891.756mil  T        360.00 Header 4       
C53        0603C             1333.472mil      -1975mil       1363mil      -1975mil       1363mil      -1975mil  T        180.00 3.3nF/16V      
C40        0603C             1751.527mil      -1975mil       1722mil      -1975mil       1722mil      -1975mil  T        360.00 56pF/50V       
C38        0603C             1650.472mil      -2106mil       1680mil      -2106mil       1680mil      -2106mil  T        180.00 2.2nF/50V      
Q5         SOT23-3            512.787mil   -1445.63mil        562mil      -1485mil        562mil      -1485mil  T        360.00 si2306         
C11        0603C             1182.472mil      -1160mil       1212mil      -1160mil       1212mil      -1160mil  T        180.00 0.1uF          
U6         SOT23-3           1176.472mil  -1058.284mil   1225.685mil  -1097.654mil   1225.685mil  -1097.654mil  T          0.00 REF2933AIDBZT  

