单色点阵汉字库索引表
==========================================================================================
序号     字符   Unicode    偏移(像素区)      宽度     高度     行字节   
112    背    0x000080CC   0x00003800     32     32     4     
113    贝    0x00008D1D   0x00003880     32     32     4     
114    钡    0x000094A1   0x00003900     32     32     4     
115    倍    0x0000500D   0x00003980     32     32     4     
116    狈    0x000072C8   0x00003A00     32     32     4     
117    备    0x00005907   0x00003A80     32     32     4     
118    惫    0x000060EB   0x00003B00     32     32     4     
119    焙    0x00007119   0x00003B80     32     32     4     
120    被    0x000088AB   0x00003C00     32     32     4     
121    奔    0x00005954   0x00003C80     32     32     4     
122    苯    0x000082EF   0x00003D00     32     32     4     
123    本    0x0000672C   0x00003D80     32     32     4     
124    笨    0x00007B28   0x00003E00     32     32     4     
125    崩    0x00005D29   0x00003E80     32     32     4     
126    绷    0x00007EF7   0x00003F00     32     32     4     
127    甭    0x0000752D   0x00003F80     32     32     4     
128    泵    0x00006CF5   0x00004000     32     32     4     
129    蹦    0x00008E66   0x00004080     32     32     4     
130    迸    0x00008FF8   0x00004100     32     32     4     
131    逼    0x0000903C   0x00004180     32     32     4     
132    鼻    0x00009F3B   0x00004200     32     32     4     
133    比    0x00006BD4   0x00004280     32     32     4     
134    鄙    0x00009119   0x00004300     32     32     4     
135    笔    0x00007B14   0x00004380     32     32     4     
136    彼    0x00005F7C   0x00004400     32     32     4     
137    碧    0x000078A7   0x00004480     32     32     4     
138    蓖    0x000084D6   0x00004500     32     32     4     
139    蔽    0x0000853D   0x00004580     32     32     4     
140    毕    0x00006BD5   0x00004600     32     32     4     
141    毙    0x00006BD9   0x00004680     32     32     4     
142    毖    0x00006BD6   0x00004700     32     32     4     
143    币    0x00005E01   0x00004780     32     32     4     
144    庇    0x00005E87   0x00004800     32     32     4     
145    痹    0x000075F9   0x00004880     32     32     4     
146    闭    0x000095ED   0x00004900     32     32     4     
147    敝    0x0000655D   0x00004980     32     32     4     
148    弊    0x00005F0A   0x00004A00     32     32     4     
149    必    0x00005FC5   0x00004A80     32     32     4     
150    辟    0x00008F9F   0x00004B00     32     32     4     
151    壁    0x000058C1   0x00004B80     32     32     4     
152    臂    0x000081C2   0x00004C00     32     32     4     
153    避    0x0000907F   0x00004C80     32     32     4     
154    陛    0x0000965B   0x00004D00     32     32     4     
155    鞭    0x000097AD   0x00004D80     32     32     4     
156    边    0x00008FB9   0x00004E00     32     32     4     
157    编    0x00007F16   0x00004E80     32     32     4     
158    贬    0x00008D2C   0x00004F00     32     32     4     
159    扁    0x00006241   0x00004F80     32     32     4     
160    便    0x00004FBF   0x00005000     32     32     4     
161    变    0x000053D8   0x00005080     32     32     4     
162    卞    0x0000535E   0x00005100     32     32     4     
163    辨    0x00008FA8   0x00005180     32     32     4     
164    辩    0x00008FA9   0x00005200     32     32     4     
165    辫    0x00008FAB   0x00005280     32     32     4     
166    遍    0x0000904D   0x00005300     32     32     4     
167    标    0x00006807   0x00005380     32     32     4     
168    彪    0x00005F6A   0x00005400     32     32     4     
169    膘    0x00008198   0x00005480     32     32     4     
170    表    0x00008868   0x00005500     32     32     4     
171    鳖    0x00009CD6   0x00005580     32     32     4     
172    憋    0x0000618B   0x00005600     32     32     4     
173    别    0x0000522B   0x00005680     32     32     4     
174    瘪    0x0000762A   0x00005700     32     32     4     
175    彬    0x00005F6C   0x00005780     32     32     4     
176    斌    0x0000658C   0x00005800     32     32     4     
177    濒    0x00006FD2   0x00005880     32     32     4     
178    滨    0x00006EE8   0x00005900     32     32     4     
179    宾    0x00005BBE   0x00005980     32     32     4     
180    摈    0x00006448   0x00005A00     32     32     4     
181    兵    0x00005175   0x00005A80     32     32     4     
182    冰    0x000051B0   0x00005B00     32     32     4     
183    柄    0x000067C4   0x00005B80     32     32     4     
184    丙    0x00004E19   0x00005C00     32     32     4     
185    秉    0x000079C9   0x00005C80     32     32     4     
186    饼    0x0000997C   0x00005D00     32     32     4     
187    炳    0x000070B3   0x00005D80     32     32     4     
188    病    0x000075C5   0x00005E00     32     32     4     
189    并    0x00005E76   0x00005E80     32     32     4     
190    玻    0x000073BB   0x00005F00     32     32     4     
191    菠    0x000083E0   0x00005F80     32     32     4     
192    播    0x000064AD   0x00006000     32     32     4     
193    拨    0x000062E8   0x00006080     32     32     4     
194    钵    0x000094B5   0x00006100     32     32     4     
195    波    0x00006CE2   0x00006180     32     32     4     
196    博    0x0000535A   0x00006200     32     32     4     
197    勃    0x000052C3   0x00006280     32     32     4     
198    搏    0x0000640F   0x00006300     32     32     4     
199    铂    0x000094C2   0x00006380     32     32     4     
200    箔    0x00007B94   0x00006400     32     32     4     
201    伯    0x00004F2F   0x00006480     32     32     4     
202    帛    0x00005E1B   0x00006500     32     32     4     
203    舶    0x00008236   0x00006580     32     32     4     
204    脖    0x00008116   0x00006600     32     32     4     
205    膊    0x0000818A   0x00006680     32     32     4     
206    渤    0x00006E24   0x00006700     32     32     4     
207    泊    0x00006CCA   0x00006780     32     32     4     
208    驳    0x00009A73   0x00006800     32     32     4     
209    捕    0x00006355   0x00006880     32     32     4     
210    卜    0x0000535C   0x00006900     32     32     4     
211    哺    0x000054FA   0x00006980     32     32     4     
212    补    0x00008865   0x00006A00     32     32     4     
213    埠    0x000057E0   0x00006A80     32     32     4     
214    不    0x00004E0D   0x00006B00     32     32     4     
215    布    0x00005E03   0x00006B80     32     32     4     
216    步    0x00006B65   0x00006C00     32     32     4     
217    簿    0x00007C3F   0x00006C80     32     32     4     
218    部    0x000090E8   0x00006D00     32     32     4     
219    怖    0x00006016   0x00006D80     32     32     4     
220    擦    0x000064E6   0x00006E00     32     32     4     
221    猜    0x0000731C   0x00006E80     32     32     4     
222    裁    0x000088C1   0x00006F00     32     32     4     
223    材    0x00006750   0x00006F80     32     32     4     
224    才    0x0000624D   0x00007000     32     32     4     
225    财    0x00008D22   0x00007080     32     32     4     
226    睬    0x0000776C   0x00007100     32     32     4     
227    踩    0x00008E29   0x00007180     32     32     4     
228    采    0x000091C7   0x00007200     32     32     4     
229    彩    0x00005F69   0x00007280     32     32     4     
230    菜    0x000083DC   0x00007300     32     32     4     
231    蔡    0x00008521   0x00007380     32     32     4     
232    餐    0x00009910   0x00007400     32     32     4     
233    参    0x000053C2   0x00007480     32     32     4     
234    蚕    0x00008695   0x00007500     32     32     4     
235    残    0x00006B8B   0x00007580     32     32     4     
236    惭    0x000060ED   0x00007600     32     32     4     
237    惨    0x000060E8   0x00007680     32     32     4     
238    灿    0x0000707F   0x00007700     32     32     4     
239    苍    0x000082CD   0x00007780     32     32     4     
240    舱    0x00008231   0x00007800     32     32     4     
241    仓    0x00004ED3   0x00007880     32     32     4     
242    沧    0x00006CA7   0x00007900     32     32     4     
243    藏    0x000085CF   0x00007980     32     32     4     
244    操    0x000064CD   0x00007A00     32     32     4     
245    糙    0x00007CD9   0x00007A80     32     32     4     
246    槽    0x000069FD   0x00007B00     32     32     4     
247    曹    0x000066F9   0x00007B80     32     32     4     
248    草    0x00008349   0x00007C00     32     32     4     
249    厕    0x00005395   0x00007C80     32     32     4     
250    策    0x00007B56   0x00007D00     32     32     4     
251    侧    0x00004FA7   0x00007D80     32     32     4     
252    册    0x0000518C   0x00007E00     32     32     4     
253    测    0x00006D4B   0x00007E80     32     32     4     
254    层    0x00005C42   0x00007F00     32     32     4     
255    蹭    0x00008E6D   0x00007F80     32     32     4     
256    插    0x000063D2   0x00008000     32     32     4     
257    叉    0x000053C9   0x00008080     32     32     4     
258    茬    0x0000832C   0x00008100     32     32     4     
259    茶    0x00008336   0x00008180     32     32     4     
260    查    0x000067E5   0x00008200     32     32     4     
261    碴    0x000078B4   0x00008280     32     32     4     
262    搽    0x0000643D   0x00008300     32     32     4     
263    察    0x00005BDF   0x00008380     32     32     4     
264    岔    0x00005C94   0x00008400     32     32     4     
265    差    0x00005DEE   0x00008480     32     32     4     
266    诧    0x00008BE7   0x00008500     32     32     4     
267    拆    0x000062C6   0x00008580     32     32     4     
268    柴    0x000067F4   0x00008600     32     32     4     
269    豺    0x00008C7A   0x00008680     32     32     4     
270    搀    0x00006400   0x00008700     32     32     4     
271    掺    0x000063BA   0x00008780     32     32     4     
272    蝉    0x00008749   0x00008800     32     32     4     
273    馋    0x0000998B   0x00008880     32     32     4     
274    谗    0x00008C17   0x00008900     32     32     4     
275    缠    0x00007F20   0x00008980     32     32     4     
276    铲    0x000094F2   0x00008A00     32     32     4     
277    产    0x00004EA7   0x00008A80     32     32     4     
278    阐    0x00009610   0x00008B00     32     32     4     
279    颤    0x000098A4   0x00008B80     32     32     4     
280    昌    0x0000660C   0x00008C00     32     32     4     
281    猖    0x00007316   0x00008C80     32     32     4     
282    场    0x0000573A   0x00008D00     32     32     4     
283    尝    0x00005C1D   0x00008D80     32     32     4     
284    常    0x00005E38   0x00008E00     32     32     4     
285    长    0x0000957F   0x00008E80     32     32     4     
286    偿    0x0000507F   0x00008F00     32     32     4     
287    肠    0x000080A0   0x00008F80     32     32     4     
288    厂    0x00005382   0x00009000     32     32     4     
289    敞    0x0000655E   0x00009080     32     32     4     
290    畅    0x00007545   0x00009100     32     32     4     
291    唱    0x00005531   0x00009180     32     32     4     
292    倡    0x00005021   0x00009200     32     32     4     
293    超    0x00008D85   0x00009280     32     32     4     
294    抄    0x00006284   0x00009300     32     32     4     
295    钞    0x0000949E   0x00009380     32     32     4     
296    朝    0x0000671D   0x00009400     32     32     4     
297    嘲    0x00005632   0x00009480     32     32     4     
298    潮    0x00006F6E   0x00009500     32     32     4     
299    巢    0x00005DE2   0x00009580     32     32     4     
300    吵    0x00005435   0x00009600     32     32     4     
301    炒    0x00007092   0x00009680     32     32     4     
302    车    0x00008F66   0x00009700     32     32     4     
303    扯    0x0000626F   0x00009780     32     32     4     
304    撤    0x000064A4   0x00009800     32     32     4     
305    掣    0x000063A3   0x00009880     32     32     4     
306    彻    0x00005F7B   0x00009900     32     32     4     
307    澈    0x00006F88   0x00009980     32     32     4     
308    郴    0x000090F4   0x00009A00     32     32     4     
309    臣    0x000081E3   0x00009A80     32     32     4     
310    辰    0x00008FB0   0x00009B00     32     32     4     
311    尘    0x00005C18   0x00009B80     32     32     4     
312    晨    0x00006668   0x00009C00     32     32     4     
313    忱    0x00005FF1   0x00009C80     32     32     4     
314    沉    0x00006C89   0x00009D00     32     32     4     
315    陈    0x00009648   0x00009D80     32     32     4     
316    趁    0x00008D81   0x00009E00     32     32     4     
317    衬    0x0000886C   0x00009E80     32     32     4     
318    撑    0x00006491   0x00009F00     32     32     4     
319    称    0x000079F0   0x00009F80     32     32     4     
320    城    0x000057CE   0x0000A000     32     32     4     
321    橙    0x00006A59   0x0000A080     32     32     4     
322    成    0x00006210   0x0000A100     32     32     4     
323    呈    0x00005448   0x0000A180     32     32     4     
324    乘    0x00004E58   0x0000A200     32     32     4     
325    程    0x00007A0B   0x0000A280     32     32     4     
326    惩    0x000060E9   0x0000A300     32     32     4     
327    澄    0x00006F84   0x0000A380     32     32     4     
328    诚    0x00008BDA   0x0000A400     32     32     4     
329    承    0x0000627F   0x0000A480     32     32     4     
330    逞    0x0000901E   0x0000A500     32     32     4     
331    骋    0x00009A8B   0x0000A580     32     32     4     
332    秤    0x000079E4   0x0000A600     32     32     4     
333    吃    0x00005403   0x0000A680     32     32     4     
334    痴    0x000075F4   0x0000A700     32     32     4     
335    持    0x00006301   0x0000A780     32     32     4     
336    匙    0x00005319   0x0000A800     32     32     4     
337    池    0x00006C60   0x0000A880     32     32     4     
338    迟    0x00008FDF   0x0000A900     32     32     4     
339    弛    0x00005F1B   0x0000A980     32     32     4     
340    驰    0x00009A70   0x0000AA00     32     32     4     
341    耻    0x0000803B   0x0000AA80     32     32     4     
342    齿    0x00009F7F   0x0000AB00     32     32     4     
343    侈    0x00004F88   0x0000AB80     32     32     4     
344    尺    0x00005C3A   0x0000AC00     32     32     4     
345    赤    0x00008D64   0x0000AC80     32     32     4     
346    翅    0x00007FC5   0x0000AD00     32     32     4     
347    斥    0x000065A5   0x0000AD80     32     32     4     
348    炽    0x000070BD   0x0000AE00     32     32     4     
349    充    0x00005145   0x0000AE80     32     32     4     
350    冲    0x000051B2   0x0000AF00     32     32     4     
351    虫    0x0000866B   0x0000AF80     32     32     4     
352    崇    0x00005D07   0x0000B000     32     32     4     
353    宠    0x00005BA0   0x0000B080     32     32     4     
354    抽    0x000062BD   0x0000B100     32     32     4     
355    酬    0x0000916C   0x0000B180     32     32     4     
356    畴    0x00007574   0x0000B200     32     32     4     
357    踌    0x00008E0C   0x0000B280     32     32     4     
358    稠    0x00007A20   0x0000B300     32     32     4     
359    愁    0x00006101   0x0000B380     32     32     4     
360    筹    0x00007B79   0x0000B400     32     32     4     
361    仇    0x00004EC7   0x0000B480     32     32     4     
362    绸    0x00007EF8   0x0000B500     32     32     4     
363    瞅    0x00007785   0x0000B580     32     32     4     
364    丑    0x00004E11   0x0000B600     32     32     4     
365    臭    0x000081ED   0x0000B680     32     32     4     
366    初    0x0000521D   0x0000B700     32     32     4     
367    出    0x000051FA   0x0000B780     32     32     4     
368    橱    0x00006A71   0x0000B800     32     32     4     
369    厨    0x000053A8   0x0000B880     32     32     4     
370    躇    0x00008E87   0x0000B900     32     32     4     
371    锄    0x00009504   0x0000B980     32     32     4     
372    雏    0x000096CF   0x0000BA00     32     32     4     
373    滁    0x00006EC1   0x0000BA80     32     32     4     
374    除    0x00009664   0x0000BB00     32     32     4     
375    楚    0x0000695A   0x0000BB80     32     32     4     
376    础    0x00007840   0x0000BC00     32     32     4     
377    储    0x000050A8   0x0000BC80     32     32     4     
378    矗    0x000077D7   0x0000BD00     32     32     4     
379    搐    0x00006410   0x0000BD80     32     32     4     
380    触    0x000089E6   0x0000BE00     32     32     4     
381    处    0x00005904   0x0000BE80     32     32     4     
382    揣    0x000063E3   0x0000BF00     32     32     4     
383    川    0x00005DDD   0x0000BF80     32     32     4     
384    穿    0x00007A7F   0x0000C000     32     32     4     
385    椽    0x0000693D   0x0000C080     32     32     4     
386    传    0x00004F20   0x0000C100     32     32     4     
387    船    0x00008239   0x0000C180     32     32     4     
388    喘    0x00005598   0x0000C200     32     32     4     
389    串    0x00004E32   0x0000C280     32     32     4     
390    疮    0x000075AE   0x0000C300     32     32     4     
391    窗    0x00007A97   0x0000C380     32     32     4     
392    幢    0x00005E62   0x0000C400     32     32     4     
393    床    0x00005E8A   0x0000C480     32     32     4     
394    闯    0x000095EF   0x0000C500     32     32     4     
395    创    0x0000521B   0x0000C580     32     32     4     
396    吹    0x00005439   0x0000C600     32     32     4     
397    炊    0x0000708A   0x0000C680     32     32     4     
398    捶    0x00006376   0x0000C700     32     32     4     
399    锤    0x00009524   0x0000C780     32     32     4     
400    垂    0x00005782   0x0000C800     32     32     4     
401    春    0x00006625   0x0000C880     32     32     4     
402    椿    0x0000693F   0x0000C900     32     32     4     
403    醇    0x00009187   0x0000C980     32     32     4     
404    唇    0x00005507   0x0000CA00     32     32     4     
405    淳    0x00006DF3   0x0000CA80     32     32     4     
406    纯    0x00007EAF   0x0000CB00     32     32     4     
407    蠢    0x00008822   0x0000CB80     32     32     4     
408    戳    0x00006233   0x0000CC00     32     32     4     
409    绰    0x00007EF0   0x0000CC80     32     32     4     
410    疵    0x000075B5   0x0000CD00     32     32     4     
411    茨    0x00008328   0x0000CD80     32     32     4     
412    磁    0x000078C1   0x0000CE00     32     32     4     
413    雌    0x000096CC   0x0000CE80     32     32     4     
414    辞    0x00008F9E   0x0000CF00     32     32     4     
415    慈    0x00006148   0x0000CF80     32     32     4     
416    瓷    0x000074F7   0x0000D000     32     32     4     
417    词    0x00008BCD   0x0000D080     32     32     4     
418    此    0x00006B64   0x0000D100     32     32     4     
419    刺    0x0000523A   0x0000D180     32     32     4     
420    赐    0x00008D50   0x0000D200     32     32     4     
421    次    0x00006B21   0x0000D280     32     32     4     
422    聪    0x0000806A   0x0000D300     32     32     4     
423    葱    0x00008471   0x0000D380     32     32     4     
424    囱    0x000056F1   0x0000D400     32     32     4     
425    匆    0x00005306   0x0000D480     32     32     4     
426    从    0x00004ECE   0x0000D500     32     32     4     
427    丛    0x00004E1B   0x0000D580     32     32     4     
428    凑    0x000051D1   0x0000D600     32     32     4     
429    粗    0x00007C97   0x0000D680     32     32     4     
430    醋    0x0000918B   0x0000D700     32     32     4     
431    簇    0x00007C07   0x0000D780     32     32     4     
432    促    0x00004FC3   0x0000D800     32     32     4     
433    蹿    0x00008E7F   0x0000D880     32     32     4     
434    篡    0x00007BE1   0x0000D900     32     32     4     
435    窜    0x00007A9C   0x0000D980     32     32     4     
436    摧    0x00006467   0x0000DA00     32     32     4     
437    崔    0x00005D14   0x0000DA80     32     32     4     
438    催    0x000050AC   0x0000DB00     32     32     4     
439    脆    0x00008106   0x0000DB80     32     32     4     
440    瘁    0x00007601   0x0000DC00     32     32     4     
441    粹    0x00007CB9   0x0000DC80     32     32     4     
442    淬    0x00006DEC   0x0000DD00     32     32     4     
443    翠    0x00007FE0   0x0000DD80     32     32     4     
444    村    0x00006751   0x0000DE00     32     32     4     
445    存    0x00005B58   0x0000DE80     32     32     4     
446    寸    0x00005BF8   0x0000DF00     32     32     4     
447    磋    0x000078CB   0x0000DF80     32     32     4     
448    撮    0x000064AE   0x0000E000     32     32     4     
449    搓    0x00006413   0x0000E080     32     32     4     
450    措    0x000063AA   0x0000E100     32     32     4     
451    挫    0x0000632B   0x0000E180     32     32     4     
452    错    0x00009519   0x0000E200     32     32     4     
453    搭    0x0000642D   0x0000E280     32     32     4     
454    达    0x00008FBE   0x0000E300     32     32     4     
455    答    0x00007B54   0x0000E380     32     32     4     
456    瘩    0x00007629   0x0000E400     32     32     4     
457    打    0x00006253   0x0000E480     32     32     4     
458    大    0x00005927   0x0000E500     32     32     4     
459    呆    0x00005446   0x0000E580     32     32     4     
460    歹    0x00006B79   0x0000E600     32     32     4     
461    傣    0x000050A3   0x0000E680     32     32     4     
462    戴    0x00006234   0x0000E700     32     32     4     
463    带    0x00005E26   0x0000E780     32     32     4     
464    殆    0x00006B86   0x0000E800     32     32     4     
465    代    0x00004EE3   0x0000E880     32     32     4     
466    贷    0x00008D37   0x0000E900     32     32     4     
467    袋    0x0000888B   0x0000E980     32     32     4     
468    待    0x00005F85   0x0000EA00     32     32     4     
469    逮    0x0000902E   0x0000EA80     32     32     4     
470    怠    0x00006020   0x0000EB00     32     32     4     
471    耽    0x0000803D   0x0000EB80     32     32     4     
472    担    0x000062C5   0x0000EC00     32     32     4     
473    丹    0x00004E39   0x0000EC80     32     32     4     
474    单    0x00005355   0x0000ED00     32     32     4     
475    郸    0x000090F8   0x0000ED80     32     32     4     
476    掸    0x000063B8   0x0000EE00     32     32     4     
477    胆    0x000080C6   0x0000EE80     32     32     4     
478    旦    0x000065E6   0x0000EF00     32     32     4     
479    氮    0x00006C2E   0x0000EF80     32     32     4     
480    但    0x00004F46   0x0000F000     32     32     4     
481    惮    0x000060EE   0x0000F080     32     32     4     
482    淡    0x00006DE1   0x0000F100     32     32     4     
483    诞    0x00008BDE   0x0000F180     32     32     4     
484    弹    0x00005F39   0x0000F200     32     32     4     
485    蛋    0x000086CB   0x0000F280     32     32     4     
486    当    0x00005F53   0x0000F300     32     32     4     
487    挡    0x00006321   0x0000F380     32     32     4     
488    党    0x0000515A   0x0000F400     32     32     4     
489    荡    0x00008361   0x0000F480     32     32     4     
490    档    0x00006863   0x0000F500     32     32     4     
491    刀    0x00005200   0x0000F580     32     32     4     
492    捣    0x00006363   0x0000F600     32     32     4     
493    蹈    0x00008E48   0x0000F680     32     32     4     
494    倒    0x00005012   0x0000F700     32     32     4     
495    岛    0x00005C9B   0x0000F780     32     32     4     
496    祷    0x00007977   0x0000F800     32     32     4     
497    导    0x00005BFC   0x0000F880     32     32     4     
498    到    0x00005230   0x0000F900     32     32     4     
499    稻    0x00007A3B   0x0000F980     32     32     4     
500    悼    0x000060BC   0x0000FA00     32     32     4     
501    道    0x00009053   0x0000FA80     32     32     4     
502    盗    0x000076D7   0x0000FB00     32     32     4     
503    德    0x00005FB7   0x0000FB80     32     32     4     
504    得    0x00005F97   0x0000FC00     32     32     4     
505    的    0x00007684   0x0000FC80     32     32     4     
506    蹬    0x00008E6C   0x0000FD00     32     32     4     
507    灯    0x0000706F   0x0000FD80     32     32     4     
508    登    0x0000767B   0x0000FE00     32     32     4     
509    等    0x00007B49   0x0000FE80     32     32     4     
510    瞪    0x000077AA   0x0000FF00     32     32     4     
511    凳    0x000051F3   0x0000FF80     32     32     4     
512    邓    0x00009093   0x00010000     32     32     4     
513    堤    0x00005824   0x00010080     32     32     4     
514    低    0x00004F4E   0x00010100     32     32     4     
515    滴    0x00006EF4   0x00010180     32     32     4     
516    迪    0x00008FEA   0x00010200     32     32     4     
517    敌    0x0000654C   0x00010280     32     32     4     
518    笛    0x00007B1B   0x00010300     32     32     4     
519    狄    0x000072C4   0x00010380     32     32     4     
520    涤    0x00006DA4   0x00010400     32     32     4     
521    翟    0x00007FDF   0x00010480     32     32     4     
522    嫡    0x00005AE1   0x00010500     32     32     4     
523    抵    0x000062B5   0x00010580     32     32     4     
524    底    0x00005E95   0x00010600     32     32     4     
525    地    0x00005730   0x00010680     32     32     4     
526    蒂    0x00008482   0x00010700     32     32     4     
527    第    0x00007B2C   0x00010780     32     32     4     
528    帝    0x00005E1D   0x00010800     32     32     4     
529    弟    0x00005F1F   0x00010880     32     32     4     
530    递    0x00009012   0x00010900     32     32     4     
531    缔    0x00007F14   0x00010980     32     32     4     
532    颠    0x000098A0   0x00010A00     32     32     4     
533    掂    0x00006382   0x00010A80     32     32     4     
534    滇    0x00006EC7   0x00010B00     32     32     4     
535    碘    0x00007898   0x00010B80     32     32     4     
536    点    0x000070B9   0x00010C00     32     32     4     
537    典    0x00005178   0x00010C80     32     32     4     
538    靛    0x0000975B   0x00010D00     32     32     4     
539    垫    0x000057AB   0x00010D80     32     32     4     
540    电    0x00007535   0x00010E00     32     32     4     
541    佃    0x00004F43   0x00010E80     32     32     4     
542    甸    0x00007538   0x00010F00     32     32     4     
543    店    0x00005E97   0x00010F80     32     32     4     
