32x32 汉字点阵字库索引表 (按 Unicode 排序)
字符数量: 3755
固定尺寸: 32x32
字体: C:/Windows/Fonts/msyh.ttc
加粗半径: 0
反色: False

序号     字符   Unicode      偏移(Hex)      宽度     高度     pitch 
181    便    0x00004FBF   0x00005A80     32     32     4     
182    促    0x00004FC3   0x00005B00     32     32     4     
183    俄    0x00004FC4   0x00005B80     32     32     4     
184    俊    0x00004FCA   0x00005C00     32     32     4     
185    俏    0x00004FCF   0x00005C80     32     32     4     
186    俐    0x00004FD0   0x00005D00     32     32     4     
187    俗    0x00004FD7   0x00005D80     32     32     4     
188    俘    0x00004FD8   0x00005E00     32     32     4     
189    保    0x00004FDD   0x00005E80     32     32     4     
190    俞    0x00004FDE   0x00005F00     32     32     4     
191    信    0x00004FE1   0x00005F80     32     32     4     
192    俩    0x00004FE9   0x00006000     32     32     4     
193    俭    0x00004FED   0x00006080     32     32     4     
194    修    0x00004FEE   0x00006100     32     32     4     
195    俯    0x00004FEF   0x00006180     32     32     4     
196    俱    0x00004FF1   0x00006200     32     32     4     
197    俺    0x00004FFA   0x00006280     32     32     4     
198    倍    0x0000500D   0x00006300     32     32     4     
199    倒    0x00005012   0x00006380     32     32     4     
200    倔    0x00005014   0x00006400     32     32     4     
201    倘    0x00005018   0x00006480     32     32     4     
202    候    0x00005019   0x00006500     32     32     4     
203    倚    0x0000501A   0x00006580     32     32     4     
204    借    0x0000501F   0x00006600     32     32     4     
205    倡    0x00005021   0x00006680     32     32     4     
206    倦    0x00005026   0x00006700     32     32     4     
207    倪    0x0000502A   0x00006780     32     32     4     
208    债    0x0000503A   0x00006800     32     32     4     
209    值    0x0000503C   0x00006880     32     32     4     
210    倾    0x0000503E   0x00006900     32     32     4     
211    假    0x00005047   0x00006980     32     32     4     
212    偏    0x0000504F   0x00006A00     32     32     4     
213    做    0x0000505A   0x00006A80     32     32     4     
214    停    0x0000505C   0x00006B00     32     32     4     
215    健    0x00005065   0x00006B80     32     32     4     
216    偶    0x00005076   0x00006C00     32     32     4     
217    偷    0x00005077   0x00006C80     32     32     4     
218    偿    0x0000507F   0x00006D00     32     32     4     
219    傀    0x00005080   0x00006D80     32     32     4     
220    傅    0x00005085   0x00006E00     32     32     4     
221    傈    0x00005088   0x00006E80     32     32     4     
222    傍    0x0000508D   0x00006F00     32     32     4     
223    傣    0x000050A3   0x00006F80     32     32     4     
224    储    0x000050A8   0x00007000     32     32     4     
225    催    0x000050AC   0x00007080     32     32     4     
226    傲    0x000050B2   0x00007100     32     32     4     
227    傻    0x000050BB   0x00007180     32     32     4     
228    像    0x000050CF   0x00007200     32     32     4     
229    僚    0x000050DA   0x00007280     32     32     4     
230    僧    0x000050E7   0x00007300     32     32     4     
231    僳    0x000050F3   0x00007380     32     32     4     
232    僵    0x000050F5   0x00007400     32     32     4     
233    僻    0x000050FB   0x00007480     32     32     4     
234    儒    0x00005112   0x00007500     32     32     4     
235    儡    0x00005121   0x00007580     32     32     4     
236    儿    0x0000513F   0x00007600     32     32     4     
237    允    0x00005141   0x00007680     32     32     4     
238    元    0x00005143   0x00007700     32     32     4     
239    兄    0x00005144   0x00007780     32     32     4     
240    充    0x00005145   0x00007800     32     32     4     
241    兆    0x00005146   0x00007880     32     32     4     
242    先    0x00005148   0x00007900     32     32     4     
243    光    0x00005149   0x00007980     32     32     4     
244    克    0x0000514B   0x00007A00     32     32     4     
245    免    0x0000514D   0x00007A80     32     32     4     
246    兑    0x00005151   0x00007B00     32     32     4     
247    兔    0x00005154   0x00007B80     32     32     4     
248    党    0x0000515A   0x00007C00     32     32     4     
249    兜    0x0000515C   0x00007C80     32     32     4     
250    兢    0x00005162   0x00007D00     32     32     4     
251    入    0x00005165   0x00007D80     32     32     4     
252    全    0x00005168   0x00007E00     32     32     4     
253    八    0x0000516B   0x00007E80     32     32     4     
254    公    0x0000516C   0x00007F00     32     32     4     
255    六    0x0000516D   0x00007F80     32     32     4     
256    兰    0x00005170   0x00008000     32     32     4     
257    共    0x00005171   0x00008080     32     32     4     
258    关    0x00005173   0x00008100     32     32     4     
259    兴    0x00005174   0x00008180     32     32     4     
260    兵    0x00005175   0x00008200     32     32     4     
261    其    0x00005176   0x00008280     32     32     4     
262    具    0x00005177   0x00008300     32     32     4     
263    典    0x00005178   0x00008380     32     32     4     
264    兹    0x00005179   0x00008400     32     32     4     
265    养    0x0000517B   0x00008480     32     32     4     
266    兼    0x0000517C   0x00008500     32     32     4     
267    兽    0x0000517D   0x00008580     32     32     4     
268    冀    0x00005180   0x00008600     32     32     4     
269    内    0x00005185   0x00008680     32     32     4     
270    冈    0x00005188   0x00008700     32     32     4     
271    冉    0x00005189   0x00008780     32     32     4     
272    册    0x0000518C   0x00008800     32     32     4     
273    再    0x0000518D   0x00008880     32     32     4     
274    冒    0x00005192   0x00008900     32     32     4     
275    冕    0x00005195   0x00008980     32     32     4     
276    冗    0x00005197   0x00008A00     32     32     4     
277    写    0x00005199   0x00008A80     32     32     4     
278    军    0x0000519B   0x00008B00     32     32     4     
279    农    0x0000519C   0x00008B80     32     32     4     
280    冠    0x000051A0   0x00008C00     32     32     4     
281    冤    0x000051A4   0x00008C80     32     32     4     
282    冬    0x000051AC   0x00008D00     32     32     4     
283    冯    0x000051AF   0x00008D80     32     32     4     
284    冰    0x000051B0   0x00008E00     32     32     4     
285    冲    0x000051B2   0x00008E80     32     32     4     
286    决    0x000051B3   0x00008F00     32     32     4     
287    况    0x000051B5   0x00008F80     32     32     4     
288    冶    0x000051B6   0x00009000     32     32     4     
289    冷    0x000051B7   0x00009080     32     32     4     
290    冻    0x000051BB   0x00009100     32     32     4     
291    净    0x000051C0   0x00009180     32     32     4     
292    凄    0x000051C4   0x00009200     32     32     4     
293    准    0x000051C6   0x00009280     32     32     4     
294    凉    0x000051C9   0x00009300     32     32     4     
295    凋    0x000051CB   0x00009380     32     32     4     
296    凌    0x000051CC   0x00009400     32     32     4     
297    减    0x000051CF   0x00009480     32     32     4     
298    凑    0x000051D1   0x00009500     32     32     4     
299    凛    0x000051DB   0x00009580     32     32     4     
300    凝    0x000051DD   0x00009600     32     32     4     
301    几    0x000051E0   0x00009680     32     32     4     
302    凡    0x000051E1   0x00009700     32     32     4     
303    凤    0x000051E4   0x00009780     32     32     4     
304    凭    0x000051ED   0x00009800     32     32     4     
305    凯    0x000051EF   0x00009880     32     32     4     
306    凰    0x000051F0   0x00009900     32     32     4     
307    凳    0x000051F3   0x00009980     32     32     4     
308    凶    0x000051F6   0x00009A00     32     32     4     
309    凸    0x000051F8   0x00009A80     32     32     4     
310    凹    0x000051F9   0x00009B00     32     32     4     
311    出    0x000051FA   0x00009B80     32     32     4     
312    击    0x000051FB   0x00009C00     32     32     4     
313    函    0x000051FD   0x00009C80     32     32     4     
314    凿    0x000051FF   0x00009D00     32     32     4     
315    刀    0x00005200   0x00009D80     32     32     4     
316    刁    0x00005201   0x00009E00     32     32     4     
317    刃    0x00005203   0x00009E80     32     32     4     
318    分    0x00005206   0x00009F00     32     32     4     
319    切    0x00005207   0x00009F80     32     32     4     
320    刊    0x0000520A   0x0000A000     32     32     4     
321    刑    0x00005211   0x0000A080     32     32     4     
322    划    0x00005212   0x0000A100     32     32     4     
323    列    0x00005217   0x0000A180     32     32     4     
324    刘    0x00005218   0x0000A200     32     32     4     
325    则    0x00005219   0x0000A280     32     32     4     
326    刚    0x0000521A   0x0000A300     32     32     4     
327    创    0x0000521B   0x0000A380     32     32     4     
328    初    0x0000521D   0x0000A400     32     32     4     
329    删    0x00005220   0x0000A480     32     32     4     
330    判    0x00005224   0x0000A500     32     32     4     
331    刨    0x00005228   0x0000A580     32     32     4     
332    利    0x00005229   0x0000A600     32     32     4     
333    别    0x0000522B   0x0000A680     32     32     4     
334    刮    0x0000522E   0x0000A700     32     32     4     
335    到    0x00005230   0x0000A780     32     32     4     
336    制    0x00005236   0x0000A800     32     32     4     
337    刷    0x00005237   0x0000A880     32     32     4     
338    券    0x00005238   0x0000A900     32     32     4     
339    刹    0x00005239   0x0000A980     32     32     4     
340    刺    0x0000523A   0x0000AA00     32     32     4     
341    刻    0x0000523B   0x0000AA80     32     32     4     
342    刽    0x0000523D   0x0000AB00     32     32     4     
343    剁    0x00005241   0x0000AB80     32     32     4     
344    剂    0x00005242   0x0000AC00     32     32     4     
345    剃    0x00005243   0x0000AC80     32     32     4     
346    削    0x0000524A   0x0000AD00     32     32     4     
347    前    0x0000524D   0x0000AD80     32     32     4     
348    剐    0x00005250   0x0000AE00     32     32     4     
349    剑    0x00005251   0x0000AE80     32     32     4     
350    剔    0x00005254   0x0000AF00     32     32     4     
351    剖    0x00005256   0x0000AF80     32     32     4     
352    剥    0x00005265   0x0000B000     32     32     4     
353    剧    0x00005267   0x0000B080     32     32     4     
354    剩    0x00005269   0x0000B100     32     32     4     
355    剪    0x0000526A   0x0000B180     32     32     4     
356    副    0x0000526F   0x0000B200     32     32     4     
357    割    0x00005272   0x0000B280     32     32     4     
358    剿    0x0000527F   0x0000B300     32     32     4     
359    劈    0x00005288   0x0000B380     32     32     4     
360    力    0x0000529B   0x0000B400     32     32     4     
361    劝    0x0000529D   0x0000B480     32     32     4     
362    办    0x0000529E   0x0000B500     32     32     4     
363    功    0x0000529F   0x0000B580     32     32     4     
