# 汉字 绝对偏移(十六进制)  (从文件头开始)
迪 0x0002277C
敌 0x000227FC
笛 0x0002287C
狄 0x000228FC
涤 0x0002297C
翟 0x000229FC
嫡 0x00022A7C
抵 0x00022AFC
底 0x00022B7C
地 0x00022BFC
蒂 0x00022C7C
第 0x00022CFC
帝 0x00022D7C
弟 0x00022DFC
递 0x00022E7C
缔 0x00022EFC
颠 0x00022F7C
掂 0x00022FFC
滇 0x0002307C
碘 0x000230FC
点 0x0002317C
典 0x000231FC
靛 0x0002327C
垫 0x000232FC
电 0x0002337C
佃 0x000233FC
甸 0x0002347C
店 0x000234FC
惦 0x0002357C
奠 0x000235FC
淀 0x0002367C
殿 0x000236FC
碉 0x0002377C
叼 0x000237FC
雕 0x0002387C
凋 0x000238FC
刁 0x0002397C
掉 0x000239FC
吊 0x00023A7C
钓 0x00023AFC
调 0x00023B7C
跌 0x00023BFC
爹 0x00023C7C
碟 0x00023CFC
蝶 0x00023D7C
迭 0x00023DFC
谍 0x00023E7C
叠 0x00023EFC
丁 0x00023F7C
盯 0x00023FFC
叮 0x0002407C
钉 0x000240FC
顶 0x0002417C
鼎 0x000241FC
锭 0x0002427C
定 0x000242FC
订 0x0002437C
丢 0x000243FC
东 0x0002447C
冬 0x000244FC
董 0x0002457C
懂 0x000245FC
动 0x0002467C
栋 0x000246FC
侗 0x0002477C
恫 0x000247FC
冻 0x0002487C
洞 0x000248FC
兜 0x0002497C
抖 0x000249FC
斗 0x00024A7C
陡 0x00024AFC
豆 0x00024B7C
逗 0x00024BFC
痘 0x00024C7C
都 0x00024CFC
督 0x00024D7C
毒 0x00024DFC
犊 0x00024E7C
独 0x00024EFC
读 0x00024F7C
堵 0x00024FFC
睹 0x0002507C
赌 0x000250FC
杜 0x0002517C
镀 0x000251FC
肚 0x0002527C
度 0x000252FC
渡 0x0002537C
妒 0x000253FC
端 0x0002547C
短 0x000254FC
锻 0x0002557C
段 0x000255FC
断 0x0002567C
缎 0x000256FC
堆 0x0002577C
兑 0x000257FC
队 0x0002587C
对 0x000258FC
墩 0x0002597C
吨 0x000259FC
蹲 0x00025A7C
敦 0x00025AFC
顿 0x00025B7C
囤 0x00025BFC
钝 0x00025C7C
盾 0x00025CFC
遁 0x00025D7C
掇 0x00025DFC
哆 0x00025E7C
多 0x00025EFC
夺 0x00025F7C
垛 0x00025FFC
躲 0x0002607C
朵 0x000260FC
跺 0x0002617C
舵 0x000261FC
剁 0x0002627C
惰 0x000262FC
堕 0x0002637C
蛾 0x000263FC
峨 0x0002647C
鹅 0x000264FC
俄 0x0002657C
额 0x000265FC
讹 0x0002667C
娥 0x000266FC
恶 0x0002677C
厄 0x000267FC
扼 0x0002687C
遏 0x000268FC
鄂 0x0002697C
饿 0x000269FC
恩 0x00026A7C
而 0x00026AFC
儿 0x00026B7C
耳 0x00026BFC
尔 0x00026C7C
饵 0x00026CFC
洱 0x00026D7C
二 0x00026DFC
贰 0x00026E7C
发 0x00026EFC
罚 0x00026F7C
筏 0x00026FFC
伐 0x0002707C
乏 0x000270FC
阀 0x0002717C
法 0x000271FC
珐 0x0002727C
藩 0x000272FC
帆 0x0002737C
番 0x000273FC
翻 0x0002747C
樊 0x000274FC
矾 0x0002757C
钒 0x000275FC
繁 0x0002767C
