16x16 汉字点阵字库索引表 (按 Unicode 排序)
字符数量: 3755
固定尺寸: 16x16
字体: C:/Windows/Fonts/msyh.ttc

序号     字符   Unicode      偏移(Hex)      宽度     高度     pitch 
300    凝    0x000051DD   0x00002580     16     16     2     
301    几    0x000051E0   0x000025A0     16     16     2     
302    凡    0x000051E1   0x000025C0     16     16     2     
303    凤    0x000051E4   0x000025E0     16     16     2     
304    凭    0x000051ED   0x00002600     16     16     2     
305    凯    0x000051EF   0x00002620     16     16     2     
306    凰    0x000051F0   0x00002640     16     16     2     
307    凳    0x000051F3   0x00002660     16     16     2     
308    凶    0x000051F6   0x00002680     16     16     2     
309    凸    0x000051F8   0x000026A0     16     16     2     
310    凹    0x000051F9   0x000026C0     16     16     2     
311    出    0x000051FA   0x000026E0     16     16     2     
312    击    0x000051FB   0x00002700     16     16     2     
313    函    0x000051FD   0x00002720     16     16     2     
314    凿    0x000051FF   0x00002740     16     16     2     
315    刀    0x00005200   0x00002760     16     16     2     
316    刁    0x00005201   0x00002780     16     16     2     
317    刃    0x00005203   0x000027A0     16     16     2     
318    分    0x00005206   0x000027C0     16     16     2     
319    切    0x00005207   0x000027E0     16     16     2     
320    刊    0x0000520A   0x00002800     16     16     2     
321    刑    0x00005211   0x00002820     16     16     2     
322    划    0x00005212   0x00002840     16     16     2     
323    列    0x00005217   0x00002860     16     16     2     
324    刘    0x00005218   0x00002880     16     16     2     
325    则    0x00005219   0x000028A0     16     16     2     
326    刚    0x0000521A   0x000028C0     16     16     2     
327    创    0x0000521B   0x000028E0     16     16     2     
328    初    0x0000521D   0x00002900     16     16     2     
329    删    0x00005220   0x00002920     16     16     2     
330    判    0x00005224   0x00002940     16     16     2     
331    刨    0x00005228   0x00002960     16     16     2     
332    利    0x00005229   0x00002980     16     16     2     
333    别    0x0000522B   0x000029A0     16     16     2     
334    刮    0x0000522E   0x000029C0     16     16     2     
335    到    0x00005230   0x000029E0     16     16     2     
336    制    0x00005236   0x00002A00     16     16     2     
337    刷    0x00005237   0x00002A20     16     16     2     
338    券    0x00005238   0x00002A40     16     16     2     
339    刹    0x00005239   0x00002A60     16     16     2     
340    刺    0x0000523A   0x00002A80     16     16     2     
341    刻    0x0000523B   0x00002AA0     16     16     2     
342    刽    0x0000523D   0x00002AC0     16     16     2     
343    剁    0x00005241   0x00002AE0     16     16     2     
344    剂    0x00005242   0x00002B00     16     16     2     
345    剃    0x00005243   0x00002B20     16     16     2     
346    削    0x0000524A   0x00002B40     16     16     2     
347    前    0x0000524D   0x00002B60     16     16     2     
348    剐    0x00005250   0x00002B80     16     16     2     
349    剑    0x00005251   0x00002BA0     16     16     2     
350    剔    0x00005254   0x00002BC0     16     16     2     
351    剖    0x00005256   0x00002BE0     16     16     2     
352    剥    0x00005265   0x00002C00     16     16     2     
353    剧    0x00005267   0x00002C20     16     16     2     
354    剩    0x00005269   0x00002C40     16     16     2     
355    剪    0x0000526A   0x00002C60     16     16     2     
356    副    0x0000526F   0x00002C80     16     16     2     
357    割    0x00005272   0x00002CA0     16     16     2     
358    剿    0x0000527F   0x00002CC0     16     16     2     
359    劈    0x00005288   0x00002CE0     16     16     2     
360    力    0x0000529B   0x00002D00     16     16     2     
361    劝    0x0000529D   0x00002D20     16     16     2     
362    办    0x0000529E   0x00002D40     16     16     2     
363    功    0x0000529F   0x00002D60     16     16     2     
364    加    0x000052A0   0x00002D80     16     16     2     
365    务    0x000052A1   0x00002DA0     16     16     2     
366    劣    0x000052A3   0x00002DC0     16     16     2     
367    动    0x000052A8   0x00002DE0     16     16     2     
368    助    0x000052A9   0x00002E00     16     16     2     
369    努    0x000052AA   0x00002E20     16     16     2     
370    劫    0x000052AB   0x00002E40     16     16     2     
371    励    0x000052B1   0x00002E60     16     16     2     
372    劲    0x000052B2   0x00002E80     16     16     2     
373    劳    0x000052B3   0x00002EA0     16     16     2     
374    势    0x000052BF   0x00002EC0     16     16     2     
375    勃    0x000052C3   0x00002EE0     16     16     2     
376    勇    0x000052C7   0x00002F00     16     16     2     
377    勉    0x000052C9   0x00002F20     16     16     2     
378    勋    0x000052CB   0x00002F40     16     16     2     
379    勒    0x000052D2   0x00002F60     16     16     2     
380    勘    0x000052D8   0x00002F80     16     16     2     
381    募    0x000052DF   0x00002FA0     16     16     2     
382    勤    0x000052E4   0x00002FC0     16     16     2     
383    勺    0x000052FA   0x00002FE0     16     16     2     
384    勾    0x000052FE   0x00003000     16     16     2     
385    勿    0x000052FF   0x00003020     16     16     2     
386    匀    0x00005300   0x00003040     16     16     2     
387    包    0x00005305   0x00003060     16     16     2     
388    匆    0x00005306   0x00003080     16     16     2     
389    匈    0x00005308   0x000030A0     16     16     2     
390    化    0x00005316   0x000030C0     16     16     2     
391    北    0x00005317   0x000030E0     16     16     2     
