# 汉字 绝对偏移(十六进制)  (从文件头开始)
鼎 0x00016C9C
锭 0x00016CBC
定 0x00016CDC
订 0x00016CFC
丢 0x00016D1C
东 0x00016D3C
冬 0x00016D5C
董 0x00016D7C
懂 0x00016D9C
动 0x00016DBC
栋 0x00016DDC
侗 0x00016DFC
恫 0x00016E1C
冻 0x00016E3C
洞 0x00016E5C
兜 0x00016E7C
抖 0x00016E9C
斗 0x00016EBC
陡 0x00016EDC
豆 0x00016EFC
逗 0x00016F1C
痘 0x00016F3C
都 0x00016F5C
督 0x00016F7C
毒 0x00016F9C
犊 0x00016FBC
独 0x00016FDC
读 0x00016FFC
堵 0x0001701C
睹 0x0001703C
赌 0x0001705C
杜 0x0001707C
镀 0x0001709C
肚 0x000170BC
度 0x000170DC
渡 0x000170FC
妒 0x0001711C
端 0x0001713C
短 0x0001715C
锻 0x0001717C
段 0x0001719C
断 0x000171BC
缎 0x000171DC
堆 0x000171FC
兑 0x0001721C
队 0x0001723C
对 0x0001725C
墩 0x0001727C
吨 0x0001729C
蹲 0x000172BC
敦 0x000172DC
顿 0x000172FC
囤 0x0001731C
钝 0x0001733C
盾 0x0001735C
遁 0x0001737C
掇 0x0001739C
哆 0x000173BC
多 0x000173DC
夺 0x000173FC
垛 0x0001741C
躲 0x0001743C
朵 0x0001745C
跺 0x0001747C
舵 0x0001749C
剁 0x000174BC
惰 0x000174DC
堕 0x000174FC
蛾 0x0001751C
峨 0x0001753C
鹅 0x0001755C
俄 0x0001757C
额 0x0001759C
讹 0x000175BC
娥 0x000175DC
恶 0x000175FC
厄 0x0001761C
扼 0x0001763C
遏 0x0001765C
鄂 0x0001767C
饿 0x0001769C
恩 0x000176BC
而 0x000176DC
儿 0x000176FC
耳 0x0001771C
尔 0x0001773C
饵 0x0001775C
洱 0x0001777C
二 0x0001779C
贰 0x000177BC
发 0x000177DC
罚 0x000177FC
筏 0x0001781C
伐 0x0001783C
乏 0x0001785C
阀 0x0001787C
法 0x0001789C
珐 0x000178BC
藩 0x000178DC
帆 0x000178FC
番 0x0001791C
翻 0x0001793C
樊 0x0001795C
矾 0x0001797C
钒 0x0001799C
繁 0x000179BC
凡 0x000179DC
烦 0x000179FC
反 0x00017A1C
返 0x00017A3C
范 0x00017A5C
贩 0x00017A7C
犯 0x00017A9C
饭 0x00017ABC
泛 0x00017ADC
坊 0x00017AFC
