CFGMEM_ID,HIDDEN,NAME,COMPATIBLE_DEVICES,MEM_DEVICE,MEM_TYPE,MEM_DENSITY,DATA_WIDTH,COMPATIBLE_RS_PINS,MEM_MANUFACTURER,MEM_INTERFACE_FILE,NUM_CFG_FILES,MEM_DEVICE_ALIAS,MEM_FAMILY
210,0,mt25qu01g-spi-x1_x2_x4_x8,#NAME?,mt25qu01g,spi,1024,x1_x2_x4_x8,,Micron,,2,,mt25qu
211,0,mt25qu02g-spi-x1_x2_x4,#NAME?,mt25qu02g,spi,2048,x1_x2_x4,,Micron,,1,,mt25qu
212,0,mt25qu02g-spi-x1_x2_x4_x8,#NAME?,mt25qu02g,spi,2048,x1_x2_x4_x8,,Micron,,2,,mt25qu
213,0,mx25u51245g-spi-x1_x2_x4,#NAME?,mx25u51245g,spi,512,x1_x2_x4,,Macronix,,1,mx66u51235f-spi-x1_x2_x4,mx25u
215,0,mt25qu128-spi-x1_x2_x4_x8,#NAME?,mt25qu128,spi,128,x1_x2_x4_x8,,Micron,,2,n25q128-1.8v-spi-x1_x2_x4_x8,mt25qu
216,0,mt25ql256-spi-x1_x2_x4_x8,#NAME?,mt25ql256,spi,256,x1_x2_x4_x8,,Micron,,2,n25q256-3.3v-spi-x1_x2_x4_x8,mt25ql
217,0,mt25ql128-spi-x1_x2_x4_x8,#NAME?,mt25ql128,spi,128,x1_x2_x4_x8,,Micron,,2,n25q128-3.3v-spi-x1_x2_x4_x8,mt25ql
218,0,s25fl512s-spi-x1_x2_x4_x8,#NAME?,s25fl512s,spi,512,x1_x2_x4_x8,,Spansion,,2,,s25flxxxs
219,0,s25fl128sxxxxxx0-spi-x1_x2_x4_x8,#NAME?,s25fl128sxxxxxx0,spi,128,x1_x2_x4_x8,,Spansion,,2,s25fl127s-spi-x1_x2_x4_x8,s25flxxxs
220,0,s25fl128sxxxxxx1-spi-x1_x2_x4_x8,#NAME?,s25fl128sxxxxxx1,spi,128,x1_x2_x4_x8,,Spansion,,2,,s25flxxxs
221,0,s25fl256sxxxxxx0-spi-x1_x2_x4_x8,#NAME?,s25fl256sxxxxxx0,spi,256,x1_x2_x4_x8,,Spansion,,2,,s25flxxxs
222,0,s25fl256sxxxxxx1-spi-x1_x2_x4_x8,#NAME?,s25fl256sxxxxxx1,spi,256,x1_x2_x4_x8,,Spansion,,2,,s25flxxxs
225,0,s25fl116k-spi-x1_x2_x4,#NAME?,s25fl116k,spi,16,x1_x2_x4,,Spansion,,1,,s25fl1
226,0,mt28ew128a-bpi-x16,#NAME?,mt28ew128a,bpi,128,x16,"""22:13""",Micron,,1,,mt28ew
227,0,mt28ew256a-bpi-x16,#NAME?,mt28ew256a,bpi,256,x16,"""23:13""",Micron,,1,,mt28ew
228,0,mt28ew512a-bpi-x16,#NAME?,mt28ew512a,bpi,512,x16,"""24:13""",Micron,,1,,mt28ew
229,0,mt28ew01ga-bpi-x16,#NAME?,mt28ew01ga,bpi,1024,x16,"""25:13""",Micron,,1,,mt28ew
230,0,mt28ew128a-bpi-x8,#NAME?,mt28ew128a,bpi,128,x8,"""23:13""",Micron,,1,,mt28ew
231,0,mt28ew256a-bpi-x8,#NAME?,mt28ew256a,bpi,256,x8,"""24:13""",Micron,,1,,mt28ew
232,0,mt28ew512a-bpi-x8,#NAME?,mt28ew512a,bpi,512,x8,"""25:13""",Micron,,1,,mt28ew
233,0,mt28ew01ga-bpi-x8,#NAME?,mt28ew01ga,bpi,1024,x8,"""26:13""",Micron,,1,,mt28ew
234,0,mx25u51245g-spi-x1_x2_x4_x8,#NAME?,mx25u51245g,spi,512,x1_x2_x4_x8,,Macronix,,2,mx66u51235f-spi-x1_x2_x4_x8,mx25u
240,0,mx25l25635f-qspi-x4-single,#NAME?,mx25l25635f,qspi,256,x4-single,,Macronix,,1,mx25l25645g-qspi-x4-single,mx25l
241,0,mx25l25635f-qspi-x8-dual_parallel,#NAME?,mx25l25635f,qspi,256,x8-dual_parallel,,Macronix,,1,mx25l25645g-qspi-x8-dual_parallel,mx25l
242,0,mx25l25635f-qspi-x4-dual_stacked,#NAME?,mx25l25635f,qspi,256,x4-dual_stacked,,Macronix,,1,mx25l25645g-qspi-x4-dual_stacked,mx25l
246,0,mx66l51235f-qspi-x4-single,#NAME?,mx66l51235f,qspi,512,x4-single,,Macronix,,1,,mx66l
247,0,mx66l51235f-qspi-x8-dual_parallel,#NAME?,mx66l51235f,qspi,512,x8-dual_parallel,,Macronix,,1,,mx66l
248,0,mx66l51235f-qspi-x4-dual_stacked,#NAME?,mx66l51235f,qspi,512,x4-dual_stacked,,Macronix,,1,,mx66l
266,0,mt25ql02g-qspi-x4-single,#NAME?,mt25ql02g,qspi,2048,x4-single,,Micron,,1,,mt25ql
267,0,mt25ql02g-qspi-x8-dual_parallel,#NAME?,mt25ql02g,qspi,2048,x8-dual_parallel,,Micron,,1,,mt25ql
268,0,mt25ql02g-qspi-x4-dual_stacked,#NAME?,mt25ql02g,qspi,2048,x4-dual_stacked,,Micron,,1,,mt25ql
269,0,m29w640gh-bpi-x16,#NAME?,m29w640gh,bpi,64,x16,"""21:13""",Micron,,1,,m29w
270,0,m29w640gl-bpi-x16,#NAME?,m29w640gl,bpi,64,x16,"""21:13""",Micron,,1,,m29w
271,0,m29w128gh-bpi-x16,#NAME?,m29w128gh,bpi,128,x16,"""22:13""",Micron,,1,,m29w
272,0,m29w128gl-bpi-x16,#NAME?,m29w128gl,bpi,128,x16,"""22:13""",Micron,,1,,m29w
273,0,m29w256gh-bpi-x16,#NAME?,m29w256gh,bpi,256,x16,"""23:13""",Micron,,1,,m29w
274,0,m29w256gl-bpi-x16,#NAME?,m29w256gl,bpi,256,x16,"""23:13""",Micron,,1,,m29w
275,0,m29w640gh-bpi-x8,#NAME?,m29w640gh,bpi,64,x8,"""22:13""",Micron,,1,,m29w
276,0,m29w640gl-bpi-x8,#NAME?,m29w640gl,bpi,64,x8,"""22:13""",Micron,,1,,m29w
277,0,m29w128gh-bpi-x8,#NAME?,m29w128gh,bpi,128,x8,"""23:13""",Micron,,1,,m29w
278,0,m29w128gl-bpi-x8,#NAME?,m29w128gl,bpi,128,x8,"""23:13""",Micron,,1,,m29w
279,0,m29w256gh-bpi-x8,#NAME?,m29w256gh,bpi,256,x8,"""24:13""",Micron,,1,,m29w
280,0,m29w256gl-bpi-x8,#NAME?,m29w256gl,bpi,256,x8,"""24:13""",Micron,,1,,m29w
290,0,jedec4.51-4gb-emmc,#NAME?,jedec4.51-4gb,emmc,32768,,,,,1,,
291,0,jedec4.51-8gb-emmc,#NAME?,jedec4.51-8gb,emmc,65536,,,,,1,,
292,0,jedec4.51-16gb-emmc,#NAME?,jedec4.51-16gb,emmc,131072,,,,,1,,
293,0,jedec4.51-32gb-emmc,#NAME?,jedec4.51-32gb,emmc,262144,,,,,1,,
294,0,jedec4.51-64gb-emmc,#NAME?,jedec4.51-64gb,emmc,524288,,,,,1,,
295,1,jedec4.51-emmc,#NAME?,jedec4.51,emmc,524288,,,,,1,,
299,0,s29gl512t-bpi-x8,#NAME?,s29gl512t,bpi,512,x8,"""25:13""",Spansion,,1,,s29glxxxt
300,0,s29gl01gt-bpi-x8,#NAME?,s29gl01gt,bpi,1024,x8,"""26:13""",Spansion,,1,,s29glxxxt
301,0,s29gl512t-bpi-x16,#NAME?,s29gl512t,bpi,512,x16,"""24:13""",Spansion,,1,,s29glxxxt
302,0,s29gl01gt-bpi-x16,#NAME?,s29gl01gt,bpi,1024,x16,"""25:13""",Spansion,,1,,s29glxxxt
303,0,n25q64-3.3v-qspi-x4-single,#NAME?,n25q64-3.3v,qspi,64,x4-single,,Micron,,1,,n25q
304,0,n25q64-3.3v-qspi-x8-dual_parallel,#NAME?,n25q64-3.3v,qspi,64,x8-dual_parallel,,Micron,,1,,n25q
305,0,n25q64-3.3v-qspi-x4-dual_stacked,#NAME?,n25q64-3.3v,qspi,64,x4-dual_stacked,,Micron,,1,,n25q
306,0,mt25ql128-qspi-x4-single,#NAME?,mt25ql128,qspi,128,x4-single,,Micron,,1,n25q128-3.3v-qspi-x4-single,mt25ql
307,0,mt25ql128-qspi-x8-dual_parallel,#NAME?,mt25ql128,qspi,128,x8-dual_parallel,,Micron,,1,n25q128-3.3v-qspi-x8-dual_parallel,mt25ql
308,0,mt25ql128-qspi-x4-dual_stacked,#NAME?,mt25ql128,qspi,128,x4-dual_stacked,,Micron,,1,n25q128-3.3v-qspi-x4-dual_stacked,mt25ql
